Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
2015-07-14T00:00:00,428,482,7.8838,,,,
2015-07-15T00:00:00,398,433,5.7737,,,,
2015-07-16T00:00:00,327,354,6.2147,,,,
2015-07-17T00:00:00,318,340,4.7059,,,,
2015-07-18T00:00:00,193,201,0.4975,,,,
2015-07-19T00:00:00,196,203,3.4483,,,,
2015-07-20T00:00:00,369,398,5.7789,,,,
2015-07-21T00:00:00,359,424,9.434,,,,
2015-07-22T00:00:00,345,387,7.2351,,,,
2015-07-23T00:00:00,398,454,7.489,,,,
2015-07-24T00:00:00,344,374,5.3476,,,,
2015-07-25T00:00:00,181,186,1.6129,,,,
2015-07-26T00:00:00,194,210,3.3333,,,,
2015-07-27T00:00:00,353,392,5.6122,,,,
2015-07-28T00:00:00,306,351,6.8376,,,,
2015-07-29T00:00:00,377,420,8.8095,,,,
2015-07-30T00:00:00,399,454,6.1674,,,,
2015-07-31T00:00:00,346,370,5.4054,,,,
2015-08-01T00:00:00,201,211,1.8957,,,,
2015-08-02T00:00:00,209,225,1.7778,,,,
2015-08-03T00:00:00,433,479,5.2192,,,,
2015-08-04T00:00:00,605,665,4.5113,,,,
2015-08-05T00:00:00,525,583,3.7736,,,,
2015-08-06T00:00:00,436,467,4.0685,,,,
2015-08-07T00:00:00,494,527,2.6565,,,,
2015-08-08T00:00:00,276,292,2.3973,,,,
2015-08-09T00:00:00,299,306,2.2876,,,,
2015-08-10T00:00:00,500,549,5.4645,,,,
2015-08-11T00:00:00,450,488,4.7131,,,,
2015-08-12T00:00:00,438,486,4.5267,,,,
2015-08-13T00:00:00,412,442,5.4299,,,,
2015-08-14T00:00:00,401,428,5.6075,,,,
2015-08-15T00:00:00,235,241,1.6598,,,,
2015-08-16T00:00:00,257,264,4.1667,,,,
2015-08-17T00:00:00,417,458,3.9301,,,,
2015-08-18T00:00:00,341,396,6.0606,,,,
2015-08-19T00:00:00,375,432,5.0926,,,,
2015-08-20T00:00:00,526,591,4.0609,,,,
2015-08-21T00:00:00,422,476,4.4118,,,,
2015-08-22T00:00:00,190,203,3.4483,,,,
2015-08-23T00:00:00,183,189,4.7619,,,,
2015-08-24T00:00:00,335,383,8.094,,,,
2015-08-25T00:00:00,329,365,4.9315,,,,
2015-08-26T00:00:00,373,405,4.6914,,,,
2015-08-27T00:00:00,381,423,5.6738,,,,
2015-08-28T00:00:00,252,290,8.6207,,,,
2015-08-29T00:00:00,112,123,7.3171,,,,
2015-08-30T00:00:00,106,117,5.9829,,,,
2015-08-31T00:00:00,294,335,8.0597,,,,
2015-09-01T00:00:00,279,314,5.0955,,,,
2015-09-02T00:00:00,346,391,8.6957,,,,
2015-09-03T00:00:00,294,360,7.5,,,,
2015-09-04T00:00:00,261,358,5.0279,,,,
2015-09-05T00:00:00,106,123,3.252,,,,
2015-09-06T00:00:00,118,139,5.036,,,,
2015-09-07T00:00:00,178,201,3.4826,,,,
2015-09-08T00:00:00,279,323,5.5728,,,,
2015-09-09T00:00:00,302,374,5.0802,,,,
2015-09-10T00:00:00,353,420,8.5714,,,,
2015-09-11T00:00:00,272,322,6.5217,,,,
2015-09-12T00:00:00,105,118,5.9322,,,,
